,Grade,5km_Time_Trial,Pace_per_km_5km,10km_Time_Trial,Pace_per_km_10km_Half_Marathon,Expected_Half_Marathon_Time,Pace_per_km_Half,Expected_Full_Marathon_Time,Pace_per_km_Full
5,46級,30分 05秒,6分 01秒,1時間 03分 50秒,6分 23秒,2時間 25分 00秒,6分 52秒,5時間 20分 00秒,7分 35秒
6,47級,30分 35秒,6分 07秒,1時間 04分 50秒,6分 29秒,2時間 27分 00秒,6分 58秒,5時間 25分 00秒,7分42秒
7,48級,31分 05秒,6分 13秒,1時間 05分 50秒,6分 35秒,2時間 29分 30秒,7分 05秒,5時間 30分 00秒,7分49秒
8,49級,31分 35秒,6分 19秒,1時間 07分 00秒,6分42秒,2時間 32分 00秒,7分 12秒,5時間 36分 15秒,7分 57秒
9,50級,32分 05秒,6分 25秒,1時間 08分 00秒,6分48秒,2時間 34分 00秒,7分 18秒,5時間 39分 45秒,8分 03秒
10,51級,32分 35秒,6分 31秒,1時間 09分 00秒,6分 54秒,2時間 36分 30秒,7分 25秒,5時間 45分 30秒,8分 11秒
11,52級,33分 05秒,6分 37秒,1時間 10分 00秒,7分 00秒,2時間 38分 45秒,7分 31秒,5時間 49分 30秒,8分 17秒
12,53級,33分 35秒,6分43秒,1時間 11分 10秒,7分 07秒,2時間 41分 15秒,7分 38秒,5時間 55分 15秒,8分 25秒
13,54級,34分 05秒,6分49秒,1時間 12分 10秒,7分 13秒,2時間 43分 30秒,7分45秒,6時間 00分 15秒,8分 32秒
14,55級,34分 35秒,6分 55秒,1時間 13分 10秒,7分 19秒,2時間 45分 45秒,7分 51秒,6時間 05分 00秒,8分 39秒
15,56級,35分 05秒,7分 01秒,1時間 14分 10秒,7分 25秒,2時間 47分 45秒,7分 57秒,6時間 00分 15秒,8分45秒
16,57級,35分 40秒,7分 08秒,1時間 15分 30秒,7分 33秒,2時間 51分 00秒,8分 06秒,6時間 09分 15秒,8分 55秒
17,58級,36分 15秒,7分 15秒,1時間 16分 40秒,7分40秒,2時間 53分 30秒,8分 13秒,6時間 16分 15秒,9分 02秒
18,59級,36分 50秒,7分 22秒,1時間 17分 50秒,7分47秒,2時間 56分 00秒,8分 20秒,6時間 21分 15秒,9分 10秒
19,60級,37分 25秒,7分 29秒,1時間 19分 00秒,7分 54秒,2時間 58分 45秒,8分 28秒,6時間 27分 00秒,9分 18秒
20,61級,38分 00秒,7分 36秒,1時間 20分 20秒,8分 02秒,3時間 01分 30秒,8分 36秒,6時間 32分 30秒,9分 27秒
21,62級,38分 35秒,7分43秒,1時間 21分 30秒,8分 09秒,3時間 04分 00秒,8分43秒,6時間 38分 45秒,9分 34秒
22,63級,39分 10秒,7分 50秒,1時間 22分 40秒,8分 16秒,3時間 06分 45秒,8分 51秒,6時間 43分 45秒,9分43秒
23,64級,39分 45秒,7分 57秒,1時間 23分 50秒,8分 23秒,3時間 09分 15秒,8分 58秒,6時間 50分 00秒,9分 50秒
24,65級,40分 20秒,8分 04秒,1時間 25分 10秒,8分 31秒,3時間 12分 00秒,9分 06秒,6時間 55分 00秒,9分 59秒
25,66級,40分 55秒,8分 11秒,1時間 26分 20秒,8分 38秒,3時間 15分 00秒,9分 14秒,7時間 01分 15秒,10分 07秒
26,67級,41分 30秒,8分 18秒,1時間 27分 30秒,8分45秒,3時間 17分 15秒,9分 21秒,7時間 07分 00秒,10分 15秒
27,68級,42分 05秒,8分 25秒,1時間 28分 40秒,8分 52秒,3時間 19分 45秒,9分 28秒,7時間 12分 30秒,10分 22秒
28,69級,42分 40秒,8分 32秒,1時間 30分 00秒,9分 00秒,3時間 23分 00秒,9分 37秒,7時間 17分 30秒,10分 32秒
